epoch,total_loss,state_mse,pinn_loss,elapsed_seconds
0,105.09329223632812,105.09326934814453,2.288818359375e-05,0.4739
1,37.99845886230469,37.998435974121094,2.288818359375e-05,0.8775
2,16.05593490600586,16.055906295776367,2.86102294921875e-05,1.2097
3,9.830391883850098,9.830364227294922,2.765655517578125e-05,1.4522
4,8.520825386047363,8.52079963684082,2.574920654296875e-05,1.6571
5,8.541695594787598,8.541671752929688,2.384185791015625e-05,1.8619
6,8.853599548339844,8.85357666015625,2.288818359375e-05,2.0167
7,9.14599895477295,9.145976066589355,2.288818359375e-05,2.1737
8,9.37700080871582,9.376977920532227,2.288818359375e-05,2.3298
9,9.559547424316406,9.559524536132812,2.288818359375e-05,2.4856
10,9.705876350402832,9.705853462219238,2.288818359375e-05,2.6808
11,9.824812889099121,9.824789047241211,2.384185791015625e-05,2.8425
12,9.92255973815918,9.92253589630127,2.384185791015625e-05,3.005
13,10.003525733947754,10.003501892089844,2.384185791015625e-05,3.165
14,10.070883750915527,10.0708589553833,2.47955322265625e-05,3.325
15,10.126952171325684,10.126927375793457,2.47955322265625e-05,3.4903
16,10.173457145690918,10.173432350158691,2.47955322265625e-05,3.6653
17,10.211692810058594,10.211668014526367,2.47955322265625e-05,3.8356
18,10.24264907836914,10.242624282836914,2.47955322265625e-05,3.9988
19,10.267101287841797,10.267075538635254,2.574920654296875e-05,4.1601
20,10.285658836364746,10.285633087158203,2.574920654296875e-05,4.356
21,10.29883098602295,10.298805236816406,2.574920654296875e-05,4.5165
22,10.307047843933105,10.307022094726562,2.574920654296875e-05,4.6772
23,10.310690879821777,10.310664176940918,2.6702880859375e-05,4.8374
24,10.310101509094238,10.310074806213379,2.6702880859375e-05,4.9984
25,10.305603981018066,10.305577278137207,2.6702880859375e-05,5.1646
26,10.297502517700195,10.29747486114502,2.765655517578125e-05,5.3549
27,10.286070823669434,10.286043167114258,2.765655517578125e-05,5.5838
28,10.271574974060059,10.271547317504883,2.765655517578125e-05,5.7534
29,10.254250526428223,10.254222869873047,2.765655517578125e-05,6.0776
30,10.234307289123535,10.234278678894043,2.86102294921875e-05,6.2484
31,10.211926460266113,10.211897850036621,2.86102294921875e-05,6.6801
32,10.187255859375,10.187227249145508,2.86102294921875e-05,6.9065
33,10.160407066345215,10.160377502441406,2.956390380859375e-05,7.1276
34,10.131467819213867,10.131438255310059,2.956390380859375e-05,7.2987
35,10.100489616394043,10.100460052490234,2.956390380859375e-05,7.4653
36,10.0675048828125,10.067475318908691,2.956390380859375e-05,7.6702
37,10.032522201538086,10.032491683959961,3.0517578125e-05,7.8403
38,9.995536804199219,9.995506286621094,3.0517578125e-05,8.0448
39,9.95653247833252,9.956501960754395,3.0517578125e-05,8.2224
40,9.915491104125977,9.915460586547852,3.0517578125e-05,8.3966
41,9.872397422790527,9.872365951538086,3.147125244140625e-05,8.5777
42,9.827230453491211,9.82719898223877,3.147125244140625e-05,8.7554
43,9.779983520507812,9.779952049255371,3.147125244140625e-05,8.9225
44,9.730648040771484,9.730616569519043,3.147125244140625e-05,9.0895
45,9.679229736328125,9.679198265075684,3.147125244140625e-05,9.2534
46,9.625733375549316,9.625700950622559,3.24249267578125e-05,9.4308
47,9.57016658782959,9.570134162902832,3.24249267578125e-05,9.5986
48,9.512532234191895,9.512499809265137,3.24249267578125e-05,9.7731
49,9.452832221984863,9.452799797058105,3.24249267578125e-05,9.943
50,9.3910551071167,9.391022682189941,3.24249267578125e-05,10.1639
51,9.327186584472656,9.327154159545898,3.24249267578125e-05,10.3382
52,9.261191368103027,9.26115894317627,3.24249267578125e-05,10.5135
53,9.193037033081055,9.19300365447998,3.337860107421875e-05,10.6884
54,9.122676849365234,9.12264347076416,3.337860107421875e-05,10.8673
55,9.050065040588379,9.050031661987305,3.337860107421875e-05,11.0476
56,8.975160598754883,8.975127220153809,3.337860107421875e-05,11.2233
57,8.89793586730957,8.897902488708496,3.337860107421875e-05,11.3997
58,8.818367958068848,8.818334579467773,3.337860107421875e-05,11.5792
59,8.736454963684082,8.736421585083008,3.337860107421875e-05,11.7656
60,8.652200698852539,8.652166366577148,3.4332275390625e-05,11.946
61,8.565628051757812,8.565593719482422,3.4332275390625e-05,12.1248
62,8.476760864257812,8.476726531982422,3.4332275390625e-05,12.3063
63,8.385631561279297,8.385597229003906,3.4332275390625e-05,12.4939
64,8.292274475097656,8.292240142822266,3.4332275390625e-05,12.6885
65,8.196722984313965,8.196688652038574,3.4332275390625e-05,12.8718
66,8.099018096923828,8.098983764648438,3.4332275390625e-05,13.0631
67,7.99920654296875,7.999171733856201,3.4809112548828125e-05,13.2497
68,7.89734411239624,7.897309303283691,3.4809112548828125e-05,13.4385
69,7.793496131896973,7.793461322784424,3.4809112548828125e-05,13.6291
70,7.687747001647949,7.687711715698242,3.528594970703125e-05,13.8293
71,7.580197334289551,7.580162048339844,3.528594970703125e-05,14.0292
72,7.470964431762695,7.470929145812988,3.528594970703125e-05,14.2293
73,7.3601603507995605,7.3601250648498535,3.528594970703125e-05,14.4251
74,7.24793004989624,7.247894763946533,3.528594970703125e-05,14.631
