
==================== thermo_init_scaled_random_1e5_dir0_stage2_10000 ====================
epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
1,7.490788e+00,1.250710e+01,2159.3,True,3.795918e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
2,5.497564e+00,3.806948e+01,1050.0,False,,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
5,4.101979e+00,2.758523e+01,1050.0,False,,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
10,2.167650e+00,3.373266e+00,2133.6,True,1.102041e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
20,1.821169e+00,2.058365e+00,2248.1,True,1.591837e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
50,1.004988e+00,2.558476e+00,2173.9,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.2
100,6.147489e-01,1.164218e+00,2372.5,True,1.591837e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.2
200,4.425409e-01,2.880641e-01,2590.1,True,1.591837e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.2
500,3.978589e-01,2.182944e-01,2601.1,True,1.591837e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.2
1000,3.630047e-01,1.852023e-01,2608.9,True,1.469388e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.3
2000,3.295177e-01,1.379574e-01,2625.3,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.4
3000,3.107678e-01,1.275935e-01,2631.2,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.4
5000,2.946774e-01,1.221488e-01,2622.9,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.4
7500,2.732077e-01,1.048671e-01,2605.1,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.4
10000,2.698263e-01,9.825324e-02,2606.9,True,1.469388e-04,1.712275e+05,58370.6,-50000.7,-21961.3,53171.6,-106649,67937.8,-23305.1,57632.1,15748.4

==================== thermo_init_scaled_random_normmatched_dir2_stage2_10000 ====================
epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,6.288923e+01,4499.1,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.77,68352.6,38093.1,-18390.3,-129359,36531.7
1,1.276087e+01,4.896565e+01,4181.6,True,2.448980e-05,1.712275e+05,36703.8,-38077.4,43878.3,-8172.77,68352.6,38093.1,-18390.3,-129359,36531.7
2,1.100315e+01,4.238549e+01,4021.0,True,2.448980e-05,1.712274e+05,36703.8,-38077.4,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
5,9.383792e+00,2.799568e+01,3653.9,True,2.448980e-05,1.712274e+05,36703.8,-38077.4,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
10,8.902427e+00,1.545858e+01,3289.5,True,3.673469e-05,1.712274e+05,36703.8,-38077.4,43878.3,-8172.75,68352.6,38093.1,-18390.3,-129359,36531.7
20,7.422371e+00,1.539433e+01,3300.8,True,4.897959e-05,1.712274e+05,36703.8,-38077.4,43878.3,-8172.73,68352.6,38093.1,-18390.3,-129359,36531.7
50,1.099368e+01,6.785351e+01,1050.0,False,,1.712275e+05,36703.8,-38077.4,43878.3,-8172.7,68352.6,38093.1,-18390.3,-129359,36531.7
100,6.195994e+00,8.217922e+00,2932.8,True,4.897959e-05,1.712275e+05,36703.8,-38077.4,43878.3,-8172.64,68352.6,38093.1,-18390.3,-129359,36531.7
200,5.610144e+00,8.388954e+00,2971.7,True,4.897959e-05,1.712274e+05,36703.8,-38077.4,43878.3,-8172.52,68352.6,38093.1,-18390.3,-129359,36531.7
500,4.441719e+00,2.692353e+00,2932.4,True,9.795918e-05,1.712274e+05,36703.9,-38077.4,43878.3,-8172.21,68352.6,38093.1,-18390.3,-129359,36531.7
1000,3.055351e+00,1.670820e+00,2956.6,True,1.224490e-04,1.712275e+05,36704.3,-38077.4,43878.3,-8171.73,68352.6,38093.1,-18390.3,-129359,36532
2000,2.530486e+00,8.189670e-01,2857.1,True,1.346939e-04,1.712283e+05,36704.3,-38077.4,43878.3,-8170.75,68352.6,38093.1,-18390.3,-129359,36535.8
3000,2.561956e+00,1.567142e+00,2890.5,True,1.224490e-04,1.712283e+05,36704.3,-38077.4,43878.3,-8169.6,68352.6,38093.1,-18390.3,-129359,36535.9
5000,2.328860e+00,6.544763e-01,2853.3,True,1.469388e-04,1.712282e+05,36704.3,-38077.4,43878.3,-8167.65,68352.6,38093.1,-18390.3,-129359,36535.9
7500,2.274115e+00,7.704193e-01,2848.9,True,1.469388e-04,1.712282e+05,36705,-38077.4,43878.3,-8164.95,68352.6,38093.1,-18390.3,-129359,36535.9
10000,2.267353e+00,7.438881e-01,2853.0,True,1.469388e-04,1.712284e+05,36706.9,-38077.4,43878.2,-8161.29,68352.6,38093.1,-18390.3,-129359,36535.9
