epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,2.977989e+01,1050.0,False,,1.712274e+05,1160.97,48678.8,9226.96,9833.67,14699.7,-92548.5,9251.73,81520.4,106083
1,9.489134e+00,2.839770e+01,1050.0,False,,1.712274e+05,1160.97,48678.8,9226.96,9833.67,14699.7,-92548.5,9251.73,81520.4,106083
2,9.358365e+00,2.764268e+01,1066.8,False,,1.712274e+05,1160.97,48678.8,9226.96,9833.66,14699.7,-92548.5,9251.73,81520.4,106083
5,9.122000e+00,2.455818e+01,1147.0,False,,1.712274e+05,1160.96,48678.8,9226.97,9833.66,14699.7,-92548.5,9251.73,81520.4,106083
10,8.923493e+00,2.232381e+01,1225.3,True,0.000000e+00,1.712274e+05,1160.95,48678.8,9226.98,9833.65,14699.6,-92548.5,9251.73,81520.4,106083
20,8.445421e+00,2.089161e+01,1269.3,True,0.000000e+00,1.712274e+05,1160.93,48678.8,9227,9833.63,14699.6,-92548.5,9251.72,81520.4,106083
50,7.434173e+00,1.720095e+01,1423.8,True,0.000000e+00,1.712274e+05,1160.86,48678.8,9227.06,9833.55,14699.7,-92548.5,9251.72,81520.4,106083
100,6.342502e+00,1.399855e+01,1504.5,True,0.000000e+00,1.712275e+05,1160.72,48678.8,9227.19,9833.41,14699.8,-92548.5,9251.77,81520.4,106083
200,5.349212e+00,6.658631e+00,2829.3,True,0.000000e+00,1.712275e+05,1160.47,48678.8,9227.39,9833.13,14700.1,-92548.5,9251.84,81520.4,106083
500,5.061749e+00,5.203403e+00,2596.4,True,0.000000e+00,1.712275e+05,1159.92,48678.8,9227.97,9832.55,14700.7,-92548.5,9251.84,81520.4,106083
1000,4.940112e+00,4.326356e+00,2494.5,True,0.000000e+00,1.712276e+05,1159.06,48678.8,9228.95,9831.57,14701.7,-92548.5,9251.84,81520.4,106083
2000,4.653163e+00,3.584468e+00,2440.4,True,2.448980e-05,1.712288e+05,1157.3,48682.3,9230.9,9829.62,14703.7,-92548.5,9251.84,81520.4,106083
3000,3.509253e+00,9.255790e-01,2391.3,True,1.591837e-04,1.712296e+05,1155.53,48684.3,9232.88,9828.32,14705.6,-92548.5,9252.26,81520.4,106083
5000,3.241738e+00,1.084936e+00,2346.7,True,1.591837e-04,1.712311e+05,1151.71,48688.2,9236.52,9826.3,14709.6,-92548.5,9252.28,81520.4,106083
7500,3.114884e+00,7.377982e-01,2408.4,True,1.591837e-04,1.712315e+05,1146.84,48688.2,9239.46,9823.86,14714.4,-92548.5,9252.28,81520.4,106083
10000,3.042592e+00,7.702919e-01,2428.8,True,1.591837e-04,1.712318e+05,1141.97,48688.2,9241.79,9821.43,14719,-92548.5,9252.28,81520.4,106083
